2019-03-03 06:14:03 INFO     Connecting to DB
2019-03-03 06:14:04 INFO     Processing Mapping
2019-03-03 06:14:04 INFO     Loading File Set: [010]
2019-03-03 06:14:04 INFO     --> Total Files [29225]
2019-03-03 06:14:04 INFO     --> Detect Loaded [29130], Resume Mapping
2019-03-03 06:14:04 INFO     Async Processing
2019-03-03 06:14:04 INFO     Collecting Results
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_351942]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_351512]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_26196666]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_23746070]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_351949]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41495227]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_43294440]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41274570]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41845229]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_42844807]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41490008]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_353319]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_42843845]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41131135]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_351523]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_43497842]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41484667]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_2083365]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_1385047]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_23891535]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_2083372]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_42854183]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41842932]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_44816956]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41844948]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41844696]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41555219]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_23893988]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_2083359]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_30302198]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_1387647]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41484763]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_2083364]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_43294404]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41844706]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_42861266]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41844501]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_42853018]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_43294508]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_43481359]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_23618937]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41328601]
