publication_title,print_identifier,title_url,primary_subject,full_coverage,0,1,2,3,4,5,6,7,8,9,date_first_issue_online,date_last_issue_online,parent_publication_title_id,preceding_publication_title_id,
American Anthropologist,0002-7294,http://www.jstor.org/journal/ameranth,Anthropology,1888-01-01 - 2010-12-01,Anthropology,Social Sciences,,,,,,,,,1888-01-01,2010,,trananthsociwash,
American Ethnologist,0094-0496,http://www.jstor.org/journal/amerethn,Anthropology,1974-02-01 - 2010-11-01,Anthropology,Social Sciences,,,,,,,,,2/1/1974 0:00,2010,,,
Annual Review of Anthropology,0084-6570,http://www.jstor.org/journal/annurevianth,Anthropology,1972-01-01 - 2012-01-01,Anthropology,Social Sciences,,,,,,,,,1/1/1972 0:00,2012,,bienrevianth,
Anthropologica,0003-5459,http://www.jstor.org/journal/anthropologica,Anthropology,1955-01-01 - 2014-01-01,Anthropology,Social Sciences,,,,,,,,,1/1/1955 0:00,2014,,,
Anthropological Journal of European Cultures,1755-2923,http://www.jstor.org/journal/anthjeurocult,Anthropology,2008-01-01 - 2014-01-01,Anthropology,Social Sciences,,,,,,,,,1/1/2008 0:00,2014,,anthyeareurocult,
Anthropological Journal on European Cultures,0960-0604,http://www.jstor.org/journal/antjeurcul,Anthropology,1990-01-01 - 2004-01-01,Anthropology,Social Sciences,,,,,,,,,1/1/1990 0:00,2004,anthyeareurocult,,
Anthropological Linguistics,0003-5483,http://www.jstor.org/journal/anthling,Anthropology,1959-01-01 - 2015-12-01,Anthropology,Linguistics,Social Sciences,,,,,,,,1/1/1959 0:00,2015,,,
Anthropological Quarterly,0003-5491,http://www.jstor.org/journal/anthquar,Anthropology,1953-01-01 - 2014-10-01,Anthropology,Social Sciences,,,,,,,,,1/1/1953 0:00,2014,,primitiveman,
Anthropological Yearbook of European Cultures,1817-9142,http://www.jstor.org/journal/anthyeareurocult,Anthropology,2005-01-01 - 2007-01-01,Anthropology,Social Sciences,,,,,,,,,1/1/2005 0:00,2007,anthjeurocult,antjeurcul,
Anthropology & Education Quarterly,0161-7761,http://www.jstor.org/journal/antheducquar,Anthropology,1976-08-01 - 2010-12-01,Anthropology,Education,Social Sciences,,,,,,,,8/1/1976 0:00,2010,,counantheducquar,
