Zip_ID,Metadata,Ngram1,Ngram2,Ngram3,OCR
001,metadata,['10.2307_1042756' '10.2307_23003313'],['10.2307_1042756' '10.2307_23003313' '10.2307_23350297'],['10.2307_1042756' '10.2307_23003313' '10.2307_23350297'],"['10.2307_1040285' '10.2307_1042756' '10.2307_23003313' '10.2307_23212115'
 '10.2307_23350297' '10.2307_4105942']"
002,metadata,[],['10.2307_1387656'],['10.2307_1387656' '10.2307_20122454'],['10.2307_1387656' '10.2307_20122454']
004,metadata,[],[],"['10.2307_23016305' '10.2307_2668076' '10.2307_3053875'
 '10.2307_canajsocicahican.36.4.398']","['10.2307_2094883' '10.2307_23016305' '10.2307_2668076' '10.2307_3053875'
 '10.2307_canajsocicahican.36.4.398']"
005,metadata,['10.2307_3010919'],"['10.2307_26162514' '10.2307_3010919' '10.2307_4167009' '10.2307_41839251'
 '10.2307_657168']","['10.2307_1040241' '10.2307_1049672' '10.2307_2074693' '10.2307_2580533'
 '10.2307_26162514' '10.2307_3010919' '10.2307_4167009' '10.2307_41839251'
 '10.2307_42851437' '10.2307_657168']","['10.2307_1040241' '10.2307_1049672' '10.2307_2074693' '10.2307_23442831'
 '10.2307_23892535' '10.2307_2580533' '10.2307_26162514' '10.2307_2629418'
 '10.2307_3010919' '10.2307_40802200' '10.2307_40972254' '10.2307_4167009'
 '10.2307_41839251' '10.2307_42851437' '10.2307_657168']"
006,metadata,['10.2307_1171587' '10.2307_3599930'],['10.2307_1171587' '10.2307_3599930'],['10.2307_1171587' '10.2307_23745150' '10.2307_25759258' '10.2307_3599930'],"['10.2307_1171587' '10.2307_23745150' '10.2307_25759258' '10.2307_3599930'
 '10.2307_41132833']"
007,metadata,['10.2307_1318720' '10.2307_3807219' '10.2307_4105574'],"['10.2307_1318720' '10.2307_1389092' '10.2307_30118849' '10.2307_3807219'
 '10.2307_4105574']","['10.2307_1318720' '10.2307_1389092' '10.2307_24579844' '10.2307_27566739'
 '10.2307_30118849' '10.2307_3807219' '10.2307_4105574']","['10.2307_1318720' '10.2307_1389092' '10.2307_24579844' '10.2307_27566739'
 '10.2307_30118849' '10.2307_3174006' '10.2307_3807219' '10.2307_4105574']"
008,metadata,['10.2307_1039510' '10.2307_26290743' '10.2307_40376929' '10.2307_976594'],"['10.2307_1039510' '10.2307_23252599' '10.2307_26290743' '10.2307_270957'
 '10.2307_40376929' '10.2307_43917458' '10.2307_976594']","['10.1086_505277' '10.2307_1039510' '10.2307_2071267' '10.2307_23252599'
 '10.2307_26290743' '10.2307_270957' '10.2307_2776753' '10.2307_3052857'
 '10.2307_40376929' '10.2307_43917458' '10.2307_976594']","['10.1086_505277' '10.2307_1039510' '10.2307_2071267' '10.2307_23252599'
 '10.2307_26290743' '10.2307_270957' '10.2307_2776753' '10.2307_3052857'
 '10.2307_40376929' '10.2307_41406381' '10.2307_43917458' '10.2307_976594']"
009,metadata,[],['10.2307_30118788' '10.2307_43242608'],"['10.2307_2064442' '10.2307_30118788' '10.2307_4106005' '10.2307_41129290'
 '10.2307_41960841' '10.2307_43242608']","['10.2307_1317088' '10.2307_2064442' '10.2307_30118788' '10.2307_4106005'
 '10.2307_41129290' '10.2307_41960841' '10.2307_43242608']"
010,metadata,"['10.2307_2063435' '10.2307_24706882' '10.2307_2488360' '10.2307_2536324'
 '10.2307_2676381' '10.2307_29769597' '10.2307_3174820' '10.2307_3700162'
 '10.2307_41345977' '10.2307_4167284']","['10.2307_2063435' '10.2307_23159536' '10.2307_24706882' '10.2307_2488360'
 '10.2307_2536324' '10.2307_2676381' '10.2307_29769597' '10.2307_29769643'
 '10.2307_30122323' '10.2307_3174820' '10.2307_3700162' '10.2307_41345977'
 '10.2307_4167284']","['10.1086_428337' '10.2307_2063435' '10.2307_23159536' '10.2307_24706882'
 '10.2307_2488360' '10.2307_2536324' '10.2307_2676381' '10.2307_29769597'
 '10.2307_29769643' '10.2307_30122323' '10.2307_3108500' '10.2307_3122417'
 '10.2307_3174820' '10.2307_3321338' '10.2307_3700162' '10.2307_41345977'
 '10.2307_4167284' '10.2307_41841394' '10.2307_800643']","['10.1086_428337' '10.2307_2063435' '10.2307_23159536' '10.2307_24579663'
 '10.2307_24706882' '10.2307_2488360' '10.2307_2536324' '10.2307_26162452'
 '10.2307_2676381' '10.2307_29769597' '10.2307_29769643'
 '10.2307_30122323' '10.2307_3108500' '10.2307_3122417' '10.2307_3174820'
 '10.2307_3321338' '10.2307_3700162' '10.2307_3710302' '10.2307_3710980'
 '10.2307_41345977' '10.2307_4167284' '10.2307_41841394' '10.2307_800643']"
011,metadata,"['10.2307_23729718' '10.2307_30224946' '10.2307_40270345'
 '10.2307_41623978']","['10.2307_23729718' '10.2307_23748076' '10.2307_30224946'
 '10.2307_40270345' '10.2307_41623978' '10.2307_41637881']","['10.2307_23729718' '10.2307_23748076' '10.2307_23748515'
 '10.2307_2955361' '10.2307_30224946' '10.2307_40270345'
 '10.2307_41623978' '10.2307_41637881']","['10.2307_20832100' '10.2307_23729718' '10.2307_23742713'
 '10.2307_23748076' '10.2307_23748515' '10.2307_2955361'
 '10.2307_30224946' '10.2307_3381174' '10.2307_40270345'
 '10.2307_41623978' '10.2307_41637881']"
