2019-03-03 06:15:37 INFO     Connecting to DB
2019-03-03 06:15:38 INFO     Processing Mapping
2019-03-03 06:15:38 INFO     Loading File Set: [007]
2019-03-03 06:15:38 INFO     --> Total Files [29140]
2019-03-03 06:15:38 INFO     --> Detect Loaded [29035], Resume Mapping
2019-03-03 06:15:38 INFO     Async Processing
2019-03-03 06:15:38 INFO     Collecting Results
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_3511001]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_42860100]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_26197789]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_1387627]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_353311]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_353306]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_350612]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_353318]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41844433]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_351504]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41416299]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41553544]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_23891727]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41484847]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.1525_si.2000.23.1.cover]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41841960]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.1525_si.1993.16.2.cover]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41163925]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_20851861]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_23891642]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_24178440]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.1525_si.1993.16.1.cover]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41514698]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41415682]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41842916]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41791208]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294861]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294955]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41421282]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_30124913]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41844142]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_351529]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41069227]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_351943]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_23677839]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294300]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41843093]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_42854950]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_350683]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41623087]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41802781]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41844113]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_40182585]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.1525_si.2000.23.4.cover]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294224]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41582852]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41960245]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41683173]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_351940]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_42844191]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294524]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.1525_si.1988.11.2.cover]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_2391181]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41844999]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.1525_si.1988.11.1.cover]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294373]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_351929]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_351955]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_20831041]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_350702]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_42844793]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_351926]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41960244]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41067178]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41959844]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43242458]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_30123780]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_30122193]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41484827]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_30118167]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294544]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_40282588]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41554469]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_24708253]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_350693]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_3012040]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.1525_si.1991.14.1.cover]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41421249]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.1525_si.1991.14.4.489]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41783578]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294393]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_23747766]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41844342]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41844758]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_42852349]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41843953]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_23867172]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294445]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294970]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_44816055]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_350681]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_2391186]
2019-03-03 06:15:38 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_44824719]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_42843815]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.1525_si.1977.1.1.cover]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_42843544]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_30121064]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41274510]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.1525_si.1996.19.1.cover]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_24175955]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_41307825]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_43294494]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_353329]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_20831580]
2019-03-03 06:15:39 WARNING  [Exception] => [division by zero] - [FileSetID: 007], [FileID: 10.2307_44815946]
2019-03-03 06:15:39 INFO     Mission Complete
